Kod;Nazwa;2010[%];2014[%];2018[%];2022[%]
200000;DOLNOSLASKIE;82;69;77,1;74,8
400000;KUJAWSKO-POMORSKIE;83;71;78,2;76,1
600000;LUBELSKIE;80;70;79,3;77,1
800000;LUBUSKIE;82;74;79,7;77,2
1000000;LODZKIE;82;71;79,3;77
1200000;MALOPOLSKIE;83;73;83,2;82,1
1400000;MAZOWIECKIE;82;71;81,2;81,8
1600000;OPOLSKIE;82;70;78,4;76,5
1800000;PODKARPACKIE;81;71;80,6;78,8
2000000;PODLASKIE;81;73;81,2;76,2
2200000;POMORSKIE;82;71;77,4;76,3
2400000;SLASKIE;82;71;79,2;77,7
2600000;SWIETOKRZYSKIE;80;71;80;77,9
2800000;WARMINSKO-MAZURSKIE;80;68;77,4;75,6
3000000;WIELKOPOLSKIE;81;70;79,3;77,8
3200000;ZACHODNIOPOMORSKIE;80;67;76,8;75,7
