Kod;Nazwa;"stadiony;2010";"stadiony;2014";"stadiony;2018";"stadiony;2022";"hale sportowe o wymiarach od 36x19 m;2010";"hale sportowe o wymiarach od 36x19 m;2014";"hale sportowe o wymiarach od 36x19 m;2018";"hale sportowe o wymiarach od 36x19 m;2022";"sale gimnastyczne;2010";"sale gimnastyczne;2014";"sale gimnastyczne;2018";"sale gimnastyczne;2022";"korty tenisowe;2010";"korty tenisowe;2014";"korty tenisowe;2018";"korty tenisowe;2022";"plywalnie kryte;2010";"plywalnie kryte;2014";"plywalnie kryte;2018";"plywalnie kryte;2022"
0200000;DOLNOSLASKIE;187;171;211;181;62;76;97;93;91;76;95;92;146;172;207;200;24;29;55;56
0400000;KUJAWSKO-POMORSKIE;118;103;112;107;41;50;51;57;64;73;51;59;68;107;127;122;18;25;28;39
0600000;LUBELSKIE;125;129;122;132;32;34;30;41;71;71;69;75;41;72;64;78;13;19;21;27
0800000;LUBUSKIE;60;77;71;74;28;28;35;38;31;26;30;30;54;61;59;74;9;11;10;11
1000000;LODZKIE;88;124;120;108;52;69;62;71;53;72;58;76;99;125;160;139;22;27;29;31
1200000;MALOPOLSKIE;249;245;262;203;65;75;85;104;113;90;108;122;150;203;208;223;47;62;66;63
1400000;MAZOWIECKIE;168;183;175;177;111;120;138;148;128;133;173;157;193;228;197;289;82;87;84;86
1600000;OPOLSKIE;109;96;92;72;32;33;39;40;15;35;23;35;45;69;67;73;13;16;20;19
1800000;PODKARPACKIE;307;352;307;327;38;54;43;50;100;101;82;67;96;147;146;153;33;40;39;48
2000000;PODLASKIE;48;47;51;49;15;19;16;23;21;27;29;33;23;37;33;39;13;17;19;21
2200000;POMORSKIE;102;110;121;115;54;51;72;74;68;57;88;62;123;132;186;138;20;21;23;30
2400000;SLASKIE;170;205;212;189;86;98;112;110;99;121;160;127;156;196;243;216;56;60;75;71
2600000;SWIETOKRZYSKIE;75;70;71;65;18;30;26;25;16;21;22;20;25;39;45;41;21;28;26;28
2800000;WARMINSKO-MAZURSKIE;87;100;85;101;42;38;46;68;40;42;41;65;72;86;94;96;11;21;23;22
3000000;WIELKOPOLSKIE;209;227;226;218;91;121;156;159;112;120;117;132;202;240;300;279;36;36;43;35
3200000;ZACHODNIOPOMORSKIE;136;147;130;126;47;57;59;72;45;42;43;54;75;125;126;129;15;22;18;22
