Kod;Nazwa;"szkoły ponadgimnazjalne zawodowe;2010;[%]";"szkoły ponadgimnazjalne zawodowe;2011;[%]";"szkoły ponadgimnazjalne zawodowe;2012;[%]";"szkoły ponadgimnazjalne zawodowe;2013;[%]";"szkoły ponadgimnazjalne zawodowe;2014;[%]";"szkoły ponadgimnazjalne zawodowe;2015;[%]";"szkoły ponadgimnazjalne zawodowe;2016;[%]";"szkoły ponadgimnazjalne zawodowe;2017;[%]";"szkoły ponadgimnazjalne zawodowe;2018;[%]";"szkoły ponadgimnazjalne zawodowe - kobiety;2017;[%]";"szkoły ponadgimnazjalne zawodowe - kobiety;2018;[%]";"szkoły ponadgimnazjalne zawodowe - mężczyźni;2017;[%]";"szkoły ponadgimnazjalne zawodowe - mężczyźni;2018;[%]";"licea ogólnokształcące;2010;[%]";"licea ogólnokształcące;2011;[%]";"licea ogólnokształcące;2012;[%]";"licea ogólnokształcące;2013;[%]";"licea ogólnokształcące;2014;[%]";"licea ogólnokształcące;2015;[%]";"licea ogólnokształcące;2016;[%]";"licea ogólnokształcące;2017;[%]";"licea ogólnokształcące;2018;[%]";"licea ogólnokształcące - kobiety;2017;[%]";"licea ogólnokształcące - kobiety;2018;[%]";"licea ogólnokształcące - mężczyźni;2017;[%]";"licea ogólnokształcące - mężczyźni;2018;[%]"
200000;DOLNOŚLĄSKIE;71,9;70,3;71,9;75,1;65,5;68,2;69,1;68,2;72,7;63,3;68,2;72;76,2;90,8;87,1;86,5;90,1;87,1;87,4;87,9;87,6;87,4;86,6;85,9;89,1;89,5
400000;KUJAWSKO-POMORSKIE;76,5;74,6;74,7;80,3;72,7;72,6;76,6;76,8;80;72,4;76,4;80,1;82,8;92;87,8;91,2;90,7;88,2;86,5;88;87,7;88,8;84,8;90,4;92,3;86
600000;LUBELSKIE;66,9;65,8;70,6;71,8;61,3;66,9;70,9;73,9;75,8;68,8;71,8;77,2;78;91,8;90,7;91,2;91,2;88,6;87,9;87,2;87,6;91,4;82,6;86,8;96,3;99,5
800000;LUBUSKIE;75,8;73,9;79,9;82,6;74,9;76,3;78,6;82,5;82,9;76,7;81,1;87;84,2;91,3;90,2;91,4;92,2;88,1;88;87,2;88,8;87,6;82,1;86,7;100,2;89
1000000;ŁÓDZKIE;74,3;74,1;73,6;77,4;68,3;70,1;77,3;77,2;80,1;71,8;77;80,7;82,1;91,3;88,9;90,2;91,4;86,8;87,4;85,9;89,1;90,3;85,1;91,1;96,1;89,2
1200000;MAŁOPOLSKIE;75,7;75,7;78,1;80,1;71,5;75,2;78,9;80,9;82,9;77,6;81,6;83,3;83,9;90,9;89,5;91;93,3;88,6;85,8;90,2;91,3;91,8;89,3;91,3;94,8;92,7
1400000;MAZOWIECKIE;70,4;70,2;72,5;76,3;65,8;70,5;76,7;76,3;78,9;70;74,3;80,6;81,7;90,9;90,3;90,9;91,8;89,6;88,7;88,8;89,4;91;89,8;89,6;88,8;93
1600000;OPOLSKIE;74,3;73,5;75,2;76,8;74,7;74,2;77,3;79,2;81,8;77,5;79;80,8;84,1;92,4;83,8;88,6;90,1;87,8;86,1;87,5;87;87,7;88,2;85,2;85;91,5
1800000;PODKARPACKIE;70,5;70,9;72,9;75,4;65;69,9;72,5;73,5;78,1;68,2;73,7;77;81;91,2;90,2;90,6;92;89,5;86,9;90;89,5;91,7;85,2;90,7;96,9;93,5
2000000;PODLASKIE;71,8;71,5;73,6;74,5;68,5;70,6;75,6;77,3;77,1;70,7;73,2;81,4;79,4;89,3;90,3;91,1;91,8;89,2;89,1;90,4;88;90,4;82,6;92;97;87,9
2200000;POMORSKIE;76,4;74,9;77,3;79,9;71,1;72,1;75,4;76,8;77,1;73,5;74,3;79,5;79,3;89,9;85,9;88,4;89,6;86,5;84;87,8;87,5;86,5;87,5;85,2;87,5;88,6
2400000;ŚLĄSKIE;74,7;73,5;76,5;79,5;71,8;72;74,6;77;79,5;71,9;74,9;80,7;82,7;91,2;87,8;89,6;90,7;86,6;86,8;87,2;86,3;87,4;85,1;87,6;88,2;87,1
2600000;ŚWIĘTOKRZYSKIE;72;71,7;71,1;73,2;66,7;69,8;73,9;73,8;76,9;66,6;69,7;79,3;81,8;93;92,4;92,1;92,4;90,1;90,3;91,2;91,1;92,8;88,8;92,9;95,4;92,6
2800000;WARMIŃSKO-MAZURSKIE;73,5;71,8;72,8;74,6;64,8;67,5;70,9;72;77,5;67,2;76,5;75,9;78,3;88,5;86,4;88;89,4;84,7;85;85,8;86;87,6;82,2;85,9;91,9;90,2
3000000;WIELKOPOLSKIE;74,6;73,9;76;77,7;67,9;72,2;76,3;78,2;81,3;76,3;78,8;79,6;83,3;90,7;89,1;90,3;90,1;87;83,6;87,1;86,4;88,8;86,1;89;86,9;88,4
3200000;ZACHODNIOPOMORSKIE;74,5;73,7;76,2;78,9;70,4;73,6;74,9;74,4;79,2;69,4;76,1;78,3;81,5;87,3;86,4;86,1;87,4;81;81;83,4;83,3;85;83,4;85,4;83,2;84,3
